ASSERTION	AAEDAAEBAwAAAAAAAECfQA==
RUN	com.ccousseran.gatling.BasicSimulation	basicsimulation	1565008639873	 	3.2.0
REQUEST	21		Page 1	1565008646815	1565008646832	OK	 
REQUEST	61		Page 1	1565008646822	1565008646838	OK	 
REQUEST	51		Page 1	1565008646822	1565008646838	OK	 
REQUEST	92		Page 1	1565008646820	1565008646838	OK	 
REQUEST	22		Page 1	1565008646821	1565008646838	OK	 
REQUEST	58		Page 1	1565008646823	1565008646844	OK	 
REQUEST	84		Page 1	1565008646823	1565008646844	OK	 
REQUEST	54		Page 1	1565008646821	1565008646844	OK	 
REQUEST	69		Page 1	1565008646822	1565008646844	OK	 
REQUEST	59		Page 1	1565008646822	1565008646844	OK	 
REQUEST	10		Page 1	1565008646824	1565008646845	OK	 
REQUEST	70		Page 1	1565008646821	1565008646845	OK	 
REQUEST	94		Page 1	1565008646821	1565008646846	OK	 
REQUEST	13		Page 1	1565008646826	1565008646846	OK	 
REQUEST	30		Page 1	1565008646822	1565008646848	OK	 
REQUEST	35		Page 1	1565008646830	1565008646848	OK	 
REQUEST	62		Page 1	1565008646823	1565008646849	OK	 
REQUEST	40		Page 1	1565008646832	1565008646849	OK	 
REQUEST	36		Page 1	1565008646832	1565008646849	OK	 
REQUEST	78		Page 1	1565008646830	1565008646850	OK	 
REQUEST	24		Page 1	1565008646841	1565008646855	OK	 
REQUEST	76		Page 1	1565008646841	1565008646855	OK	 
REQUEST	2		Page 1	1565008646841	1565008646855	OK	 
REQUEST	55		Page 1	1565008646841	1565008646856	OK	 
REQUEST	27		Page 1	1565008646841	1565008646855	OK	 
REQUEST	56		Page 1	1565008646841	1565008646856	OK	 
REQUEST	44		Page 1	1565008646841	1565008646857	OK	 
REQUEST	91		Page 1	1565008646841	1565008646857	OK	 
REQUEST	60		Page 1	1565008646841	1565008646857	OK	 
REQUEST	75		Page 1	1565008646841	1565008646858	OK	 
REQUEST	11		Page 1	1565008646841	1565008646858	OK	 
REQUEST	72		Page 1	1565008646852	1565008646862	OK	 
REQUEST	1		Page 1	1565008646850	1565008646862	OK	 
REQUEST	38		Page 1	1565008646851	1565008646862	OK	 
REQUEST	79		Page 1	1565008646851	1565008646862	OK	 
REQUEST	95		Page 1	1565008646851	1565008646863	OK	 
REQUEST	8		Page 1	1565008646852	1565008646863	OK	 
REQUEST	49		Page 1	1565008646851	1565008646863	OK	 
REQUEST	7		Page 2	1565008647750	1565008647755	OK	 
REQUEST	46		Page 2	1565008647750	1565008647755	OK	 
REQUEST	15		Page 2	1565008647760	1565008647765	OK	 
REQUEST	48		Page 2	1565008647760	1565008647766	OK	 
REQUEST	53		Page 2	1565008647760	1565008647766	OK	 
REQUEST	90		Page 2	1565008647771	1565008647777	OK	 
REQUEST	43		Page 2	1565008647771	1565008647779	OK	 
REQUEST	65		Page 1	1565008647771	1565008647780	OK	 
REQUEST	66		Page 2	1565008647771	1565008647780	OK	 
REQUEST	100		Page 1	1565008647771	1565008647780	OK	 
REQUEST	67		Page 2	1565008647771	1565008647781	OK	 
REQUEST	19		Page 2	1565008647771	1565008647782	OK	 
REQUEST	17		Page 2	1565008647780	1565008647785	OK	 
REQUEST	29		Page 2	1565008647780	1565008647787	OK	 
REQUEST	68		Page 1	1565008647780	1565008647790	OK	 
REQUEST	77		Page 2	1565008647780	1565008647790	OK	 
REQUEST	47		Page 2	1565008647781	1565008647790	OK	 
REQUEST	14		Page 2	1565008647781	1565008647790	OK	 
REQUEST	85		Page 2	1565008647781	1565008647790	OK	 
REQUEST	86		Page 2	1565008647790	1565008647796	OK	 
REQUEST	18		Page 2	1565008647790	1565008647797	OK	 
REQUEST	83		Page 2	1565008647790	1565008647799	OK	 
REQUEST	57		Page 2	1565008647790	1565008647801	OK	 
REQUEST	88		Page 2	1565008647790	1565008647801	OK	 
REQUEST	12		Page 2	1565008647790	1565008647801	OK	 
REQUEST	6		Page 2	1565008647790	1565008647801	OK	 
REQUEST	41		Page 2	1565008647791	1565008647801	OK	 
REQUEST	93		Page 2	1565008647791	1565008647801	OK	 
REQUEST	89		Page 2	1565008647791	1565008647802	OK	 
REQUEST	9		Page 2	1565008647790	1565008647802	OK	 
REQUEST	50		Page 2	1565008647800	1565008647804	OK	 
REQUEST	64		Page 2	1565008647800	1565008647804	OK	 
REQUEST	26		Page 2	1565008647809	1565008647816	OK	 
REQUEST	81		Page 2	1565008647809	1565008647819	OK	 
REQUEST	52		Page 2	1565008647809	1565008647819	OK	 
REQUEST	32		Page 2	1565008647809	1565008647819	OK	 
REQUEST	45		Page 2	1565008647809	1565008647819	OK	 
REQUEST	97		Page 2	1565008647809	1565008647819	OK	 
REQUEST	80		Page 2	1565008647809	1565008647819	OK	 
REQUEST	74		Page 2	1565008647820	1565008647824	OK	 
REQUEST	42		Page 2	1565008647820	1565008647831	OK	 
REQUEST	37		Page 2	1565008647820	1565008647831	OK	 
REQUEST	25		Page 2	1565008647820	1565008647831	OK	 
REQUEST	98		Page 2	1565008647820	1565008647831	OK	 
